,Dataset,Accuracy,F1_Score,Precision,Recall,Kappa,AUC
0,abalone_df_5,0.9827586206896551,0.9837206962063361,0.9858886265913499,0.9827586206896551,0.8297367116353104,0.9820530171526081
1,abalone_df_10,0.9747807017543859,0.9757105787320988,0.9778886548153465,0.9747807017543859,0.8590360474180802,0.9688258462075079
2,abalone_df_15,0.9779643231899265,0.9786206405560526,0.9807281068911009,0.9779643231899265,0.908611013439154,0.990160122961983
3,abalone_df_20,0.9768611670020121,0.9774008345626949,0.9793204888636433,0.9768611670020121,0.9208374019210659,0.9896178918572841
4,abalone_df_25,0.9768339768339769,0.9772626789517393,0.9789404879581987,0.9768339768339769,0.9303314746840763,0.9902478394899855
5,abalone_df_30,0.9740018570102136,0.9743791369878505,0.9758173190811698,0.9740018570102136,0.9288716548025078,0.9864805050780185
6,abalone_df_35,0.9749776586237712,0.9752666343595148,0.9764799250457582,0.9749776586237712,0.9364047105817592,0.9873902915852084
7,abalone_df_40,0.9758620689655172,0.9760879554646389,0.9771347321273912,0.9758620689655172,0.9419745102312802,0.9886533843053363
8,abalone_df_45,0.9766860949208993,0.9768630700871129,0.9777772849352305,0.9766860949208993,0.9464264662305758,0.9885767571978086
9,abalone_df_50,0.9774738535800482,0.9776139089963771,0.9784229151273461,0.9774738535800482,0.9499613251248666,0.9889993181937379
10,abalone_df_55,0.9789719626168224,0.9790825114613917,0.9798623634574699,0.9789719626168224,0.9546047359406672,0.9904705907280277
11,abalone_df_60,0.9788838612368024,0.9789705019212817,0.9796213769712402,0.9788838612368024,0.9553390350402368,0.9896241138022344
12,abalone_df_65,0.9795171909290417,0.9795846715139249,0.9801758291664417,0.9795171909290417,0.9573956540806717,0.9904630472509093
13,abalone_df_70,0.9801277501774308,0.9801790711408294,0.9807181241134432,0.9801277501774308,0.9592066324895204,0.9900732082692069
14,abalone_df_75,0.9806896551724138,0.9807278667775148,0.9812231593708428,0.9806896551724138,0.9607423752216702,0.9902507531919604
15,abalone_df_80,0.9812206572769953,0.98124747964778,0.9817042480563044,0.9812206572769953,0.962100951561334,0.9904010099022886
16,abalone_df_85,0.9817351598173516,0.9817528509828474,0.982175989152615,0.9817351598173516,0.963312256085991,0.9905468664327228
17,abalone_df_90,0.9822109275730623,0.9822207367503328,0.9826145458348295,0.9822109275730623,0.9643735378616038,0.990668793160677
18,abalone_df_95,0.9826732673267327,0.9826761871271416,0.983043358466652,0.9826732673267327,0.9653476492797354,0.9907805212262597
19,abalone_df_100,0.9831019915509958,0.9830991477300891,0.983443134844244,0.9831019915509958,0.966204512377936,0.990878655967553
