,Dataset,Accuracy,F1_Score,Precision,Recall,Kappa,AUC
0,abalone_df_5,0.9528735632183908,0.9298789686969346,0.9079680274805126,0.9528735632183908,0.0,0.979405101650534
1,abalone_df_10,0.9583333333333334,0.9581043686942893,0.957898783259794,0.9583333333333334,0.7454048574073258,0.9610940747307687
2,abalone_df_15,0.9538300104931794,0.9547271729213005,0.956175846920612,0.9538300104931794,0.804103675742343,0.9850869683645278
3,abalone_df_20,0.9517102615694165,0.952786959588158,0.9550396170271924,0.9517102615694165,0.8344115278896077,0.9855945521215296
4,abalone_df_25,0.9575289575289575,0.9584454727837081,0.9610175407106443,0.9575289575289575,0.8731586240671383,0.9845632069369417
5,abalone_df_30,0.9545032497678737,0.9553010575269257,0.9576235700105691,0.9545032497678737,0.8763724872385334,0.9813805984668663
6,abalone_df_35,0.9508489722966935,0.9517176077441347,0.9547858336021572,0.9508489722966935,0.8768324044147813,0.9831413002786906
7,abalone_df_40,0.9491379310344827,0.9499035919551642,0.9528553431617525,0.9491379310344827,0.8793421999069151,0.9831012503689882
8,abalone_df_45,0.95503746877602,0.9556759573385843,0.9591087856320323,0.95503746877602,0.8983014169494502,0.984121433474505
9,abalone_df_50,0.9549477071600966,0.9554497195218454,0.9582780268493734,0.9549477071600966,0.9011028043225611,0.9847234605455616
10,abalone_df_55,0.9532710280373832,0.9537086406365118,0.9564852183864201,0.9532710280373832,0.9001430971193928,0.9859270383083312
11,abalone_df_60,0.9570135746606335,0.9573325420962837,0.9597273980599831,0.9570135746606335,0.909839174903555,0.9849543582362693
12,abalone_df_65,0.9575713240673006,0.9578357021816224,0.9603097293266297,0.9575713240673006,0.9124288980439369,0.9852422186447595
13,abalone_df_70,0.9602555003548616,0.9604526615846424,0.9629018336583534,0.9602555003548616,0.9189557843531992,0.9860821097292125
14,abalone_df_75,0.9613793103448276,0.9615179259005734,0.9636024133527107,0.9613793103448276,0.9218619188480215,0.9849536430015793
15,abalone_df_80,0.9631120053655265,0.9632068953860061,0.965385612487868,0.9631120053655265,0.9258553018816235,0.9862832535466807
16,abalone_df_85,0.964122635355512,0.9641796274491173,0.966207003654474,0.964122635355512,0.9281420744070219,0.9857731796249589
17,abalone_df_90,0.96569250317662,0.9657164446326172,0.9675366152147561,0.96569250317662,0.931412912086582,0.9861966791071963
18,abalone_df_95,0.9665841584158416,0.9665804731555708,0.9682842558945952,0.9665841584158416,0.9332263085161249,0.9857086583397581
19,abalone_df_100,0.9656004828002414,0.9655685054016898,0.967372629875897,0.9656004828002414,0.9312034963124829,0.986122037493517
